label,technique,fits,peak_vram_gb,peak_ram_gb,peak_ram_delta_gb,wallclock_per_step_s,wallclock_per_epoch_s,eval_score,eval_metric,final_train_loss,steps,status,run_seconds,trainable_params,total_params,pct_params,total_train_examples,planned_steps,task,metric,n_train,n_val,n_test,hashes,artifacts,method,base_model,peak_reserved_gb,baseline_ram_gb,wallclock_s,mem_trace
lomo_lr1e4,lomo,True,14.6019,1.7396,0.8165,0.2879,36.86,0.33149,exact_match,0.77602,50,ok,27.6,7241732096,7241732096,100.0,1024,50,task843_financial_phrasebank_classification,exact_match,1024,64,181,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_lomo_lr1e4.csv', 'ram_trace': 'results/phase05/mem_trace/p05_lomo_lr1e4.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,15.123,0.923,14.4,results/phase05/mem_trace/p05_lomo_lr1e4.csv
lomo_lr5e4,lomo,True,14.6019,1.7356,0.8129,0.2871,36.75,0.0,exact_match,2.36432,50,ok,26.9,7241732096,7241732096,100.0,1024,50,task843_financial_phrasebank_classification,exact_match,1024,64,181,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_lomo_lr5e4.csv', 'ram_trace': 'results/phase05/mem_trace/p05_lomo_lr5e4.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,15.123,0.9227,14.36,results/phase05/mem_trace/p05_lomo_lr5e4.csv
lomo_lr1e3,lomo,True,14.6019,1.7361,0.8126,0.2866,36.69,0.0,exact_match,2.59381,50,ok,26.9,7241732096,7241732096,100.0,1024,50,task843_financial_phrasebank_classification,exact_match,1024,64,181,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_lomo_lr1e3.csv', 'ram_trace': 'results/phase05/mem_trace/p05_lomo_lr1e3.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,15.123,0.9234,14.33,results/phase05/mem_trace/p05_lomo_lr1e3.csv
adalomo_lr1e3,adalomo,True,15.1014,1.8294,0.906,0.5956,76.24,0.33149,exact_match,1.25843,50,ok,42.8,7241732096,7241732096,100.0,1024,50,task843_financial_phrasebank_classification,exact_match,1024,64,181,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_adalomo_lr1e3.csv', 'ram_trace': 'results/phase05/mem_trace/p05_adalomo_lr1e3.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,15.623,0.9234,29.78,results/phase05/mem_trace/p05_adalomo_lr1e3.csv
lomo_bs8_lr5e4,lomo,True,15.6814,1.835,0.9128,1.0156,16.25,0.33149,exact_match,0.65748,50,ok,63.9,7241732096,7241732096,100.0,1024,50,task843_financial_phrasebank_classification,exact_match,1024,64,181,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_lomo_bs8_lr5e4.csv', 'ram_trace': 'results/phase05/mem_trace/p05_lomo_bs8_lr5e4.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,16.3516,0.9222,50.78,results/phase05/mem_trace/p05_lomo_bs8_lr5e4.csv
lomo_nockpt_lr5e4,lomo,True,16.7205,1.7327,0.809,0.2531,32.4,0.33149,exact_match,1.14746,50,ok,25.6,7241732096,7241732096,100.0,1024,50,task843_financial_phrasebank_classification,exact_match,1024,64,181,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_lomo_nockpt_lr5e4.csv', 'ram_trace': 'results/phase05/mem_trace/p05_lomo_nockpt_lr5e4.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,17.0234,0.9236,12.66,results/phase05/mem_trace/p05_lomo_nockpt_lr5e4.csv
badam_8bit,badam,True,15.6801,1.8881,0.8998,1.0311,131.98,0.8011,exact_match,0.22314,50,ok,70.4,218112000,7241732096,3.011876,1024,50,task843_financial_phrasebank_classification,exact_match,1024,64,181,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_badam_8bit.csv', 'ram_trace': 'results/phase05/mem_trace/p05_badam_8bit.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,16.1836,0.9883,51.56,results/phase05/mem_trace/p05_badam_8bit.csv
galore_rank64,galore,True,29.8772,1.9524,0.9945,6.0104,769.33,0.87293,exact_match,0.49021,50,ok,314.4,7241732096,7241732096,100.0,1024,50,task843_financial_phrasebank_classification,exact_match,1024,64,181,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_galore_rank64.csv', 'ram_trace': 'results/phase05/mem_trace/p05_galore_rank64.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,29.9648,0.9579,300.52,results/phase05/mem_trace/p05_galore_rank64.csv
