label,technique,fits,peak_vram_gb,peak_ram_gb,peak_ram_delta_gb,wallclock_per_step_s,wallclock_per_epoch_s,eval_score,eval_metric,final_train_loss,steps,status,run_seconds,trainable_params,total_params,pct_params,total_train_examples,planned_steps,task,metric,n_train,n_val,n_test,hashes,artifacts,method,base_model,peak_reserved_gb,baseline_ram_gb,wallclock_s,mem_trace
baseline_paged8bit,baseline,True,27.6547,1.9096,0.9513,2.5092,321.18,0.52823,exact_match,0.23258,50,ok,145.0,7241732096,7241732096,100.0,1024,50,task1344_glue_entailment_classification,exact_match,1024,64,248,"{'train': '63b705e59112', 'val': 'd5f787d4d2e4', 'test': '2e9bf0577154'}","{'mem_trace': 'results/phase05/mem_trace/p05_baseline_paged8bit_task1344.csv', 'ram_trace': 'results/phase05/mem_trace/p05_baseline_paged8bit_task1344.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,27.8086,0.9583,125.46,results/phase05/mem_trace/p05_baseline_paged8bit_task1344.csv
galore,galore,True,30.4251,1.9636,1.0047,6.2337,797.92,0.83468,exact_match,0.15181,50,ok,331.0,7241732096,7241732096,100.0,1024,50,task1344_glue_entailment_classification,exact_match,1024,64,248,"{'train': '63b705e59112', 'val': 'd5f787d4d2e4', 'test': '2e9bf0577154'}","{'mem_trace': 'results/phase05/mem_trace/p05_galore_task1344.csv', 'ram_trace': 'results/phase05/mem_trace/p05_galore_task1344.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,30.5293,0.9588,311.69,results/phase05/mem_trace/p05_galore_task1344.csv
qgalore,qgalore,True,28.5719,1.9378,0.9791,6.2535,800.45,0.83065,exact_match,0.08524,50,ok,331.7,7241732096,7241732096,100.0,1024,50,task1344_glue_entailment_classification,exact_match,1024,64,248,"{'train': '63b705e59112', 'val': 'd5f787d4d2e4', 'test': '2e9bf0577154'}","{'mem_trace': 'results/phase05/mem_trace/p05_qgalore_task1344.csv', 'ram_trace': 'results/phase05/mem_trace/p05_qgalore_task1344.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,29.2461,0.9587,312.68,results/phase05/mem_trace/p05_qgalore_task1344.csv
lomo,lomo,True,14.6487,1.7464,0.8234,0.3187,40.8,0.58871,exact_match,0.3337,50,ok,34.3,7241732096,7241732096,100.0,1024,50,task1344_glue_entailment_classification,exact_match,1024,64,248,"{'train': '63b705e59112', 'val': 'd5f787d4d2e4', 'test': '2e9bf0577154'}","{'mem_trace': 'results/phase05/mem_trace/p05_lomo_task1344.csv', 'ram_trace': 'results/phase05/mem_trace/p05_lomo_task1344.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,14.9688,0.923,15.94,results/phase05/mem_trace/p05_lomo_task1344.csv
adalomo,adalomo,True,15.1482,1.8362,0.9123,0.6242,79.9,0.43145,exact_match,5.25122,50,ok,56.8,7241732096,7241732096,100.0,1024,50,task1344_glue_entailment_classification,exact_match,1024,64,248,"{'train': '63b705e59112', 'val': 'd5f787d4d2e4', 'test': '2e9bf0577154'}","{'mem_trace': 'results/phase05/mem_trace/p05_adalomo_task1344.csv', 'ram_trace': 'results/phase05/mem_trace/p05_adalomo_task1344.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,15.4668,0.9239,31.21,results/phase05/mem_trace/p05_adalomo_task1344.csv
badam,badam,True,17.6056,1.9378,0.9857,1.191,152.45,0.74597,exact_match,0.19901,50,ok,78.0,218112000,7241732096,3.011876,1024,50,task1344_glue_entailment_classification,exact_match,1024,64,248,"{'train': '63b705e59112', 'val': 'd5f787d4d2e4', 'test': '2e9bf0577154'}","{'mem_trace': 'results/phase05/mem_trace/p05_badam_task1344.csv', 'ram_trace': 'results/phase05/mem_trace/p05_badam_task1344.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,18.1719,0.9521,59.55,results/phase05/mem_trace/p05_badam_task1344.csv
